experiment,trial,AUROC,AUPRC,AP@50,dataset,model,train.batch_size,train.optimizer_args.lr,train.lr_scheduler_args.patience,lookup_embedder.dim,lookup_embedder.regularize_args.weighted,entity_embedder.regularize_weight,relation_embedder.regularize_weight,entity_embedder.dropout,relation_embedder.dropout,job_type=1vsAll,job_type=KvsAll,job_type=negative_sampling,train.type=1vsAll,train.type=KvsAll,train.type=negative_sampling,train.optimizer=Adadelta,train.optimizer=Adam,train.optimizer=AdamW,train.optimizer=Adamax,train.optimizer=RMSprop,train.loss=bce,train.loss=kl,train.loss=se,lookup_embedder.initialize=normal_,lookup_embedder.initialize=uniform_,lookup_embedder.initialize=xavier_normal_,lookup_embedder.initialize=xavier_uniform_
20230929-111630-simple_selfloops,00066,0.5013592227031753,0.5045094614482695,0.2672217335217388,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,simple,128,0.1982846096343151,4,512,1,1.490041453132938e-10,1.3935650503443208e-11,0.2974789966829121,0.2507631275802851,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
20230929-111630-simple_selfloops,00059,0.4995408631772268,0.5022209134420428,0.259873247109094,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,simple,128,0.0003061871488183,4,256,0,3.696079148662733e-05,3.2268728023200757e-06,0.3537286533974111,0.3422418432310223,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
20230929-111630-simple_selfloops,00061,0.4992488430046279,0.5213378385996097,0.2763154503966003,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,simple,512,0.2126069003499359,5,64,0,8.311537797750395e-14,5.8730685047846384e-08,0.39182900916785,0.2214791867882013,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0
20230929-111630-simple_selfloops,00095,0.8875708062877706,0.890046246456038,0.9321766448087496,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,simple,512,0.0382346889336006,8,64,1,7.062947838390588e-07,4.8849173710620985e-14,0.4529884411022067,0.3007728443481028,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
20230929-111630-simple_selfloops,00035,0.903547162881802,0.8826220284457518,0.8757422596301083,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,simple,128,0.1026720252626489,8,256,1,0.0001184549258945,0.0008770283584902,0.3266146164387464,0.1799343307502567,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
20230929-111630-simple_selfloops,00032,0.5003268471996669,0.5028476389275851,0.2593285662795677,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,simple,512,0.0037523600469696,7,32,1,0.0165253192939046,8.624130684335527e-07,0.0756121785379946,0.0115235936827957,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
20230929-111630-simple_selfloops,00004,0.4991297300170068,0.5015619589369914,0.2543674841850599,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,simple,512,0.0013014689950174,6,64,1,8.060630711127372e-11,7.190952293186328e-18,0.33029231056571,0.2928736079484224,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
20230929-111630-simple_selfloops,00003,0.498936672967864,0.5542180972264482,0.451100017038358,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,simple,128,0.0269920963642758,8,256,0,7.599943802411532e-15,4.774237362547718e-10,0.0154066276736557,0.0716470428742468,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
20230929-111630-simple_selfloops,00094,0.5,0.5,0.02,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,simple,256,0.7567484110081322,3,32,0,0.0518434969172339,4.465618459329274e-09,0.1027166927233338,0.4823943162336945,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
20230929-111630-simple_selfloops,00060,0.9045154231368092,0.8848879624743438,0.8919632367964065,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,simple,512,0.0491552706499545,10,32,1,1.102646751387966e-18,8.57062188604252e-13,0.0544785941019654,0.0593814528547227,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
